key,en,vi,ko
AppTitle,WIRE MARKER INSPECTION,WIRE MARKER INSPECTION,WIRE MARKER INSPECTION
Settings,SETTING,SETTING,설정
Run,RUN,RUN,실행
Online,ONLINE,ONLINE,온라인
Offline,OFFLINE,OFFLINE,오프라인
LanguageSelection,Interface language,Ngôn ngữ giao diện,인터페이스 언어
Vietnamese,Việt Nam,Việt Nam,베트남어
English,English,English,영어
Korean,Korean,한국어,한국어
Acquisition,ACQUISITION,ACQUISITION,영상 수집
ImageSource,Image source,Nguồn ảnh,이미지 소스
LiveCameraReadOnly,LIVE CAMERA · READ ONLY,LIVE CAMERA · CHỈ XEM,라이브 카메라 · 읽기 전용
LiveCameraExpanded,LIVE CAMERA · EXPANDED,LIVE CAMERA · PHÓNG LỚN,라이브 카메라 · 확대
StartAcquisition,Start Acquisition,Start Acquisition,영상 수집 시작
StopAcquisition,Stop Acquisition,Stop Acquisition,영상 수집 중지
SearchCamera,Search camera,Tìm camera,카메라 검색
ConnectCamera,Connect camera,Kết nối camera,카메라 연결
DisconnectCamera,Disconnect camera,Ngắt kết nối camera,카메라 연결 해제
FindingCamera,FINDING CAMERA...,ĐANG TÌM CAMERA...,카메라 검색 중...
CameraParameters,CAMERA PARAMETERS,THÔNG SỐ CAMERA,카메라 파라미터
CameraNotConnected,Camera not connected,Chưa kết nối camera,카메라가 연결되지 않았습니다
CameraNotConnectedPeriod,Camera not connected.,Chưa kết nối camera.,카메라가 연결되지 않았습니다.
CameraNotFound,CAMERA NOT FOUND,KHÔNG TÌM THẤY CAMERA,카메라를 찾을 수 없음
CameraFoundFormat,{0} CAMERA(S) FOUND · READY TO CONNECT,ĐÃ TÌM THẤY {0} CAMERA · SẴN SÀNG KẾT NỐI,카메라 {0}대 발견 · 연결 준비 완료
CameraConnectedDetailFormat,CONNECTED · {0},ĐÃ KẾT NỐI · {0},연결됨 · {0}
CameraAcquiringStatus,ACQUIRING · WAITING FOR FRAME,ĐANG ACQUISITION · CHỜ FRAME,영상 수집 중 · 프레임 대기
CameraReconnecting,CAMERA DISCONNECTED · RECONNECTING,MẤT KẾT NỐI CAMERA · ĐANG THỬ LẠI,카메라 연결 끊김 · 재연결 중
ReadCameraSettings,Read current camera parameters,Đọc thông số hiện tại từ camera,현재 카메라 파라미터 읽기
CameraRecipeHelp,Parameters are saved with each model recipe.,Thông số được lưu theo từng model recipe.,파라미터는 각 모델 레시피에 저장됩니다.
AdvancedParameters,Advanced parameters,Thông số nâng cao,고급 파라미터
SensorRegion,Sensor ROI,Vùng đọc sensor,센서 ROI
